id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,liveness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,86,2010,uplifting,0.14,0.34,0.11
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,63,2020,reflective,0.79,0.17,0.07
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2000,driving,0.12,0.46,0.09
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,nostalgic,0.83,0.15,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,89,2010,euphoric,0.08,0.40,0.12
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,52,2010,dreamy,0.91,0.14,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,57,1990,warm,0.68,0.26,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,1980,brooding,0.18,0.29,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,steady,0.73,0.19,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,79,2010,feel-good,0.21,0.30,0.10
11,City Pulse,Nova Shade,hip-hop,confident,0.83,96,0.72,0.84,0.12,84,2010,swagger,0.10,0.33,0.28
12,Moonlit Sonata,Aria Vale,classical,calm,0.18,54,0.58,0.20,0.98,47,1990,meditative,0.97,0.11,0.02
13,Open Highway,Red Cedar,country,warm,0.57,102,0.74,0.64,0.67,66,2000,nostalgic,0.44,0.27,0.07
14,Neon Horizon,Voltage Hearts,electronic,euphoric,0.88,128,0.86,0.91,0.08,81,2010,euphoric,0.09,0.36,0.09
15,Velvet Afterglow,Blue Juniper,r&b,smooth,0.52,88,0.69,0.76,0.43,73,2000,sultry,0.24,0.25,0.18
16,Iron Anthem,Black Forge,metal,aggressive,0.97,168,0.34,0.48,0.03,69,1990,aggressive,0.05,0.49,0.11
17,Pine Street Lanterns,Willow Finch,folk,gentle,0.33,76,0.67,0.45,0.94,55,1990,tender,0.88,0.20,0.04
18,Golden Hour Steps,Sol Camino,latin,party,0.85,122,0.83,0.90,0.19,77,2010,celebratory,0.13,0.37,0.14
